ARMOR LAYERING,,,,
L-2,L-1,L0,L1,L2
,Cloth,Cloth,Cloth,
,Cloth,Cloth,Padded,
Cloth,Cloth,Leather,,
Cloth,Padded,Leather,,
,Cloth,Padded,Kurbul,
,Cloth,Padded,Plate,
,Cloth,Quilted,Kurbul-Arms,
,Cloth,Quilted,Plate-Arms,
,Cloth,Gambeson,,
Cloth,Cloth,Kurbul,,
Cloth,Padded,Kurbul,,
,Cloth,Scale,Kurbul-Arms,
,Cloth,Scale,Plate-Arms,
,Padded,Scale,Kurbul-Arms,
,Padded,Scale,Plate-Arms,
Cloth,Cloth,Mail,Kurbul,
Cloth,Cloth,Mail,Plate,
Cloth,Padded,Mail,Kurbul,
Cloth,Padded,Mail,Plate,
Cloth,Cloth,Plate,,
Cloth,Padded,Plate,,
